Time	Modified Avg X
1.922358470062970781e+00	2.244111366666666996e+00
1.942383037459459949e+00	2.278869233333333355e+00
1.962407604855949339e+00	2.313446866666666768e+00
1.982432172252438507e+00	2.347861400000000209e+00
2.002456739648927453e+00	2.381313916666666586e+00
2.022481307045417065e+00	2.415350366666666027e+00
2.042505874441906233e+00	2.449978266666667182e+00
2.062530441838395401e+00	2.484305983333333856e+00
2.082555009234885013e+00	2.519150449999999708e+00
2.102579576631374181e+00	2.554500183333333840e+00
2.122604144027863793e+00	2.589272950000000240e+00
2.142628711424352961e+00	2.624199283333333188e+00
2.162653278820842129e+00	2.658512083333333553e+00
2.182677846217331297e+00	2.692602550000000150e+00
2.202702413613820465e+00	2.726233283333332924e+00
2.222726981010310077e+00	2.759476983333333688e+00
2.242751548406799245e+00	2.792102566666666785e+00
2.262776115803288413e+00	2.824608566666666931e+00
2.282800683199777581e+00	2.856357583333333672e+00
2.302825250596266748e+00	2.887962733333333087e+00
2.322849817992756360e+00	2.919136950000000397e+00
2.342874385389245528e+00	2.949983766666667506e+00
2.362898952785734696e+00	2.980626116666666547e+00
2.382923520182223864e+00	3.010827183333333767e+00
2.402948087578713032e+00	3.040563750000000010e+00
2.422972654975202644e+00	3.070366666666666688e+00
2.442997222371691812e+00	3.099757316666666540e+00
2.463021789768180980e+00	3.128626016666667287e+00
2.483046357164670148e+00	3.157288499999999942e+00
2.503070924561159760e+00	3.185986166666666897e+00
2.523095491957648928e+00	3.214281483333333522e+00
2.543120059354138540e+00	3.242683683333333455e+00
2.563144626750627708e+00	3.271797966666667001e+00
2.583169194147116876e+00	3.305285449999999958e+00
2.603193761543606044e+00	3.312607100000000582e+00
2.623218328940095656e+00	3.319158049999999971e+00
2.643242896336584824e+00	3.314047933333333251e+00
2.663267463733073992e+00	3.316618883333333656e+00
2.683292031129563160e+00	3.315224133333333434e+00
2.703316598526052328e+00	3.317582300000000650e+00
2.723341165922541940e+00	3.318059716666667214e+00
2.743365733319031108e+00	3.316545566666667000e+00
2.763390300715520276e+00	3.315749450000000209e+00
2.783414868112009444e+00	3.317875550000000562e+00
